technology,year,capex_yuan_per_kw,active_capex_yuan_per_kw,source_technology,source_figure,extraction_method,mapping_assumption,source_workbook,candidate_price_basis,conversion_rule,implementation_status
gchpccs,2050,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
gchpccs,2060,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
hydro,2030,13372.329275999999,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
hydro,2040,13372.329275999999,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
hydro,2050,13372.329275999999,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
hydro,2060,13372.329275999999,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
nuclear,2030,19377.277199999997,19300.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
nuclear,2040,18373.2732,18300.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
nuclear,2050,17319.069,17250.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
nuclear,2060,16315.064999999999,16250.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
offwind,2030,9839.239199999998,9800.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
offwind,2040,8684.6346,8650.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
offwind,2050,8232.832799999998,8200.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
offwind,2060,7530.029999999999,7500.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
onwind,2030,5522.021999999999,5500.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
onwind,2040,4518.017999999999,4500.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
onwind,2050,4518.017999999999,4500.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
onwind,2060,4216.8168,4200.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
phs,2030,5281.06104,5260.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
phs,2040,4758.9789599999995,4740.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
phs,2050,4758.9789599999995,4740.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
phs,2060,4256.97696,4240.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
upv,2030,2259.0089999999996,2250.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
upv,2040,1927.6876799999998,1920.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
upv,2050,1767.04704,1760.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
upv,2060,1506.0059999999999,1500.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED
