technology,year,capex_yuan_per_kw,source_technology,source_figure,extraction_method,mapping_assumption,source_workbook,source_price_year_assigned,price_year_assignment_basis,cpi_2022_to_2025_factor,capex_2025_cny_per_kw_reporting,active_model_value_changed,real_wacc_fraction,lifetime_years,capital_recovery_factor,annualized_capex_active_yuan_per_kw_year,annualized_capex_2025_cny_per_kw_year_reporting
csp,2030,12000.00000000,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,12048.04800000,False,0.07400000,25.00000000,0.08892510,1067.10123891,1071.37391227
csp,2040,11500.00000000,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,11546.04600000,False,0.07400000,25.00000000,0.08892510,1022.63868729,1026.73333259
csp,2050,10700.00000000,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,10742.84280000,False,0.07400000,25.00000000,0.08892510,951.49860469,955.30840511
csp,2060,10000.00000000,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,10040.04000000,False,0.07400000,25.00000000,0.08892510,889.25103242,892.81159356
dpv,2030,2650.00000000,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,2660.61060000,False,0.07400000,25.00000000,0.08892510,235.65152359,236.59507229
dpv,2040,2400.00000000,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,2409.60960000,False,0.07400000,25.00000000,0.08892510,213.42024778,214.27478245
dpv,2050,2240.00000000,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,2248.96896000,False,0.07400000,25.00000000,0.08892510,199.19223126,199.98979696
dpv,2060,2240.00000000,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,2248.96896000,False,0.07400000,25.00000000,0.08892510,199.19223126,199.98979696
gas,2030,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gas,2040,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gas,2050,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gas,2060,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gasccs,2030,6250.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6275.02500000,False,0.07400000,30.00000000,0.08384842,524.05260590,526.15091253
gasccs,2040,6200.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6224.82480000,False,0.07400000,30.00000000,0.08384842,519.86018505,521.94170523
gasccs,2050,6200.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6224.82480000,False,0.07400000,30.00000000,0.08384842,519.86018505,521.94170523
gasccs,2060,6200.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6224.82480000,False,0.07400000,30.00000000,0.08384842,519.86018505,521.94170523
gchp,2030,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gchp,2040,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gchp,2050,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gchp,2060,3800.00000000,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,3815.21520000,False,0.07400000,30.00000000,0.08384842,318.62398439,319.89975482
gchpccs,2030,6250.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6275.02500000,False,0.07400000,30.00000000,0.08384842,524.05260590,526.15091253
gchpccs,2040,6200.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6224.82480000,False,0.07400000,30.00000000,0.08384842,519.86018505,521.94170523
gchpccs,2050,6200.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6224.82480000,False,0.07400000,30.00000000,0.08384842,519.86018505,521.94170523
gchpccs,2060,6200.00000000,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,6224.82480000,False,0.07400000,30.00000000,0.08384842,519.86018505,521.94170523
hydro,2030,13319.00000000,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,13372.32927600,False,0.07400000,40.00000000,0.07851636,1045.75945038,1049.94667122
hydro,2040,13319.00000000,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,13372.32927600,False,0.07400000,40.00000000,0.07851636,1045.75945038,1049.94667122
hydro,2050,13319.00000000,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,13372.32927600,False,0.07400000,40.00000000,0.07851636,1045.75945038,1049.94667122
hydro,2060,13319.00000000,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,13372.32927600,False,0.07400000,40.00000000,0.07851636,1045.75945038,1049.94667122
nuclear,2030,19300.00000000,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,19377.27720000,False,0.07400000,60.00000000,0.07503516,1448.17860895,1453.97711610
nuclear,2040,18300.00000000,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,18373.27320000,False,0.07400000,60.00000000,0.07503516,1373.14344787,1378.64151423
nuclear,2050,17250.00000000,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,17319.06900000,False,0.07400000,60.00000000,0.07503516,1294.35652873,1299.53913227
nuclear,2060,16250.00000000,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,16315.06500000,False,0.07400000,60.00000000,0.07503516,1219.32136764,1224.20353040
offwind,2030,9800.00000000,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,9839.23920000,False,0.07400000,25.00000000,0.08892510,871.46601178,874.95536169
offwind,2040,8650.00000000,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,8684.63460000,False,0.07400000,25.00000000,0.08892510,769.20214305,772.28202843
offwind,2050,8200.00000000,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,8232.83280000,False,0.07400000,25.00000000,0.08892510,729.18584659,732.10550672
offwind,2060,7500.00000000,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,7530.03000000,False,0.07400000,25.00000000,0.08892510,666.93827432,669.60869517
onwind,2030,5500.00000000,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,5522.02200000,False,0.07400000,25.00000000,0.08892510,489.08806783,491.04637646
onwind,2040,4500.00000000,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,4518.01800000,False,0.07400000,25.00000000,0.08892510,400.16296459,401.76521710
onwind,2050,4500.00000000,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,4518.01800000,False,0.07400000,25.00000000,0.08892510,400.16296459,401.76521710
onwind,2060,4200.00000000,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2022,CISPO base year 2022; current China anchors use the 2022 renewable-energy report and future curves apply source decline rates,1.00400400,4216.81680000,False,0.07400000,25.00000000,0.08892510,373.48543362,374.98086929
