source_id,short_name,publication_year,geography,source_type,title_or_scope,url_or_doi,independence_group
S41,Young_DAC_2023,2023,Global/China,peer_reviewed,Global and regional direct-air-capture technology pathways,https://doi.org/10.1016/j.oneear.2023.05.010,YOUNG_DAC_2023
S42,IEA_DAC_2022,2022,Global,intergovernmental_report,Direct Air Capture 2022,https://www.iea.org/reports/direct-air-capture-2022/executive-summary,IEA_DAC_2022
S43,Shorey_DAC_2024,2024,Global,peer_reviewed,Spatially resolved energy and cost requirements of direct air capture,https://doi.org/10.1038/s43247-024-01773-1,SHOREY_DAC_2024
S44,NatCommun_DAC_2024,2024,Global,peer_reviewed,Process-level cost assessment of direct air capture,https://doi.org/10.1038/s41467-024-53961-4,NATCOMM_DAC_2024
S45,CommEng_DAC_2024,2024,Global,peer_reviewed,Off-grid direct air capture systems,https://doi.org/10.1038/s44172-023-00152-6,COMMENG_DAC_2024
S46,NatCommun_DAC_materials_2020,2020,Global,peer_reviewed,Material and energy constraints for direct air capture,https://doi.org/10.1038/s41467-020-17203-7,NATCOMM_DAC_2020
S47,Zhang_Cao_grid_report_2020,2020,China,official_industry_report,China Grid Development Report 2020,,CHINA_GRID_2020
S48,IEA_World_Energy_Investment_2024,2024,Global,intergovernmental_report,World Energy Investment 2024,https://www.iea.org/reports/world-energy-investment-2024/overview-and-key-findings,IEA_WEI_2024
S49,Han_UHV_loss_2021,2021,China,technical_article,UHV transmission loss and engineering parameters,,HAN_UHV_2021
S50,Xu_offshore_grid_2017,2017,China,peer_reviewed,Offshore integration and transmission topology in China,,XU_GRID_2017
S51,Hatton_WACC_2025,2025,Global/China,peer_reviewed_dataset,Historical and projected costs of capital for ten energy technologies,https://doi.org/10.1038/s41597-025-06177-0,HATTON_WACC_2025
S52,Liu_He_hydro_finance_2023,2023,China,peer_reviewed,Financing and operational risk for hydropower,https://doi.org/10.1038/s44221-023-00111-x,LIU_HE_2023
S53,NREL_finance_2024,2024,United States,official_technical_report,ATB financial cases and methods,https://atb.nrel.gov/electricity/2024b/financial_cases_%26_methods,NREL_FINANCE_2024
S54,NBS_2023,2024,China,government_statistics,2023 National Economic and Social Development Statistical Communiqué,https://www.stats.gov.cn/sj/zxfb/202402/t20240228_1947915.html,NBS_2023
S55,NBS_2024,2025,China,government_statistics,2024 National Economic and Social Development Statistical Communiqué,https://www.stats.gov.cn/sj/zxfb/202502/t20250228_1958817.html,NBS_2024
S56,NBS_2025,2026,China,government_statistics,2025 National Economic and Social Development Statistical Communiqué,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,NBS_2025
S57,OeNB_FX_2025,2026,International,official_statistics,2025 annual average exchange-rate statistics,https://www.oenb.at/isawebstat/stabfrage/createReport?lang=EN&report=2.14.5,OENB_FX_2025
S58,IMF_price_statistics,2025,Global,intergovernmental_statistics,Consumer price and exchange-rate methodological comparator,https://www.imf.org/en/Publications/WEO/weo-database/2025/April,IMF_2025
S59,AppliedEnergy_wave_2024,2024,Global,peer_reviewed,Wave-energy learning and cost projections,https://doi.org/10.1016/j.apenergy.2024.123119,APPLIED_ENERGY_WAVE_2024
S60,EU_Blue_Economy_2025,2025,Europe,government_report,EU Blue Economy Report 2025: marine renewable energy,https://op.europa.eu/webpub/mare/eu-blue-economy-report-2025/blue-economic-sectors/marine-renewable-energy.html,EU_BLUE_2025
S61,IRENA_ocean_outlook_2020,2020,Global,intergovernmental_report,Innovation Outlook: Ocean Energy Technologies,https://www.irena.org/publications/2020/Dec/Innovation-Outlook-Ocean-Energy-Technologies,IRENA_OCEAN_2020
S62,IRENA_ocean_investment_2023,2023,Global,intergovernmental_report,Scaling up investments in ocean energy technologies,https://www.irena.org/Publications/2023/Mar/Scaling-up-investments-in-ocean-energy-technologies,IRENA_OCEAN_2023
S63,OES_annual_report_2024,2024,Global,intergovernmental_report,Ocean Energy Systems Annual Report 2024,https://www.ocean-energy-systems.org/publications/oes-annual-reports/,OES_2024
