parameter_group,parameter_key,runtime_authority,unit,base_value,sensitivity_ready,evidence_status,notes
flexibility,ev_v1g.maximum_power_to_daily_average_ratio,config/optimization_2030.json,ratio,2.0,yes,ILLUSTRATIVE,Aggregate charging envelope
flexibility,ev_v2g.participation_fraction,config/optimization_2030.json,fraction,0.2,yes,ILLUSTRATIVE,Inactive unless V2G scenario is selected
flexibility,ev_v2g.usable_energy_to_daily_ev_energy_ratio,config/optimization_2030.json,ratio,1.0,yes,ILLUSTRATIVE,Proxy for accessible fleet battery energy
flexibility,ev_v2g.power_duration_hours,config/optimization_2030.json,h,4.0,yes,ILLUSTRATIVE,Converts accessible energy to power limit
flexibility,ev_v2g.charge_efficiency,config/optimization_2030.json,fraction,0.95,yes,ILLUSTRATIVE,Daily-cyclic virtual storage
flexibility,ev_v2g.discharge_efficiency,config/optimization_2030.json,fraction,0.95,yes,ILLUSTRATIVE,Daily-cyclic virtual storage
flexibility,shift_throughput_cost_yuan_per_mwh,config/optimization_2030.json,CNY/MWh,2.0,yes,ILLUSTRATIVE,Prevents cost-free simultaneous up/down degeneracy
flexibility,degradation_cost_yuan_per_mwh,config/optimization_2030.json,CNY/MWh,50.0,yes,ILLUSTRATIVE,V2G charge plus discharge throughput
load,demand_and_components,data/load/hourly_load_2025_2060.csv.gz,GW,table,yes,VERIFIED,31 provinces x 5 years x 8760 hours with hard component closure
nuclear,capacity_floor,data/thermal/nuclear_capacity_floor_by_year.csv,GW,table,yes,VERIFIED,One province-year lower bound
nuclear,capacity_upper,data/thermal/nuclear_capacity_upper_by_year.csv,GW,table,yes,VERIFIED,One province-year scenario upper bound
biomass,fuel_potential,data/biomass/fuel_potential_by_province_year.csv,PJ/year,table,yes,VERIFIED,Province-year shared biomass fuel resource
biomass,capacity_upper,data/biomass/capacity_upper_by_province_year.csv,GW,table,yes,VERIFIED,Shared bio plus BECCS upper bound
carbon,beccs_mass_balance,cispo_model/carbon_accounting.py,MtCO2/GWh,CISPO net factor plus 90% capture,yes,CISPO_EQUIVALENT_BASELINE,Zero lifecycle emissions in replication baseline; hard gross capture storage and net closure QC
carbon,beccs_lifecycle_sensitivity,config/beccs_lifecycle_sensitivity_v1.json,fraction of stored biogenic CO2,non-LP low/base/high screening,yes,SCREENING_ASSUMPTION,Post-solve accounting only; it never changes Base LP variables constraints or the accepted CISPO-equivalent reference case
vre,existing_retirement_mode,config/optimization_2030.json,category,cohort_survival_v1,yes,MODEL_BOUNDARY,Supported alternatives are cohort_survival_v1 and fixed_floor_v1; Base uses observed cohorts without inventing commissioning years
vre,existing_capacity_cohorts,data/vre/existing_capacity_cohorts_2025.csv,GW,2025 observed floor closure,yes,VERIFIED,GEM start years are used when available; OSM and residual capacity are boundary-censored in 2025 and site potential remains rebuildable
battery,capacity_floor,data/storage/battery_capacity_floor_by_province_year.csv,GW,table,yes,VERIFIED,Province-year commissioned or committed floor
technology,capex,data/technology/technology_capex_by_year.csv,CNY/kW,table,yes,SOURCE_RISK,Digitized future trajectory remains a sensitivity risk
technology,fuel_generation_cost,data/technology/province_fuel_generation_cost_by_year.csv,CNY/MWh,table,yes,SOURCE_RISK,Province-year coal gas and biomass fuel costs
carbon,emissions_limit,data/carbon/emissions_limits_by_scenario.csv,MtCO2/year,table,yes,MODEL_SCENARIO,Selected by carbon_scenario
wave,capacity_upper_raw,data/wave/wave_sites.csv,GW/existing marine grid,table,yes,SOURCE_RISK,Existing-grid intersection retains 9.798 TW of the 35.898 TW raw source potential; potential is identical across all ten CF scenarios
wave,spatial_mapping,scripts/build_wave_energy_inputs.py,grid_uid,1285 existing marine grids,yes,MODEL_BOUNDARY,Strict coordinate intersection within 0.02 degrees and is_land=0; exact reuse of existing province and city_337 route
wave,potential_fraction,config/optimization_2030.json,fraction,1.0,yes,ILLUSTRATIVE,Explicit scalar for sensitivity because no scenario-specific potential is present
wave,capacity_factor,$CISPO_WAVE_ROOT/wave_grid.nc,fraction,scenario x 8760 x 4194,yes,USER_SOURCE,Device-scenario profile with an explicit 2023 reference time coordinate; it is independent of the wind/PV weather-year selection
wave,capex_base,config/optimization_2030.json,EUR/kW,2777/2012/1731,yes,LITERATURE_ILLUSTRATIVE,Applied Energy 2024 DOI 10.1016/j.apenergy.2024.123119 for 2030/2040/2050
wave,depth_distance_capex_adders,config/optimization_2030.json,EUR/kW/m and EUR/kW/km,table,yes,LITERATURE_ILLUSTRATIVE,Independent project cost adders; no shared offshore-wind export
wave,eur_to_cny,config/optimization_2030.json,CNY/EUR,8.1185,yes,APPROVED_V2,2024 EUR source values converted at the approved 2025 EUR/CNY rate
wave,capacity_credit,config/optimization_2030.json,fraction,0.0,yes,CONSERVATIVE,No adequacy credit until calibrated
wave,reserve_requirement_fraction,config/optimization_2030.json,fraction,0.05,yes,CONSERVATIVE,Adds reserve demand but wave provides no reserve
