source_id,source_type,title,year,url_or_path,scope,parameter_role,reliability
NDRC_VGI_2023,China_official,Implementation opinions on strengthening vehicle-grid integration,2023,https://zfxxgk.nea.gov.cn/2023-12/13/c_1310758710.htm,China orderly charging and ten-gigawatt-scale bidirectional flexibility by 2030,V1G V2G legitimacy and 2030 cap anchor,HIGH
NDRC_VGI_PILOT_2025,China_official,First batch of large scale vehicle-grid interaction pilots,2025,https://www.ndrc.gov.cn/xxgk/zcfb/tz/202504/t20250402_1396958.html,9 pilot cities and 30 projects,V2G availability and deployment boundary,HIGH
BEIJING_ORDERLY_CHARGING_EVS34,conference_paper,Beijing orderly charging pilot user response study,2021,https://www.citelec.org/EVS34/download.php?f=papers%2Fevs34-5010511.pdf,observed participation and energy response under charging incentives,V1G central participation support,MEDIUM
BEIJING_PRICE_SUBSIDY_2026,peer_reviewed,Impact of Charging Price Subsidies on the Charging Behavior of Heterogeneous Electric Vehicle Drivers: Evidence from Beijing,2026,https://doi.org/10.1086/739399,causal charging response to a 0.4 CNY per kWh subsidy,V1G participation and activation cost support,HIGH
IEA_V2G_2026,international_official,Vehicle-to-grid technology,2026,https://www.iea.org/reports/vehicle-to-grid-technology,V1G V2G infrastructure and owner value,infrastructure and participation cost comparator,HIGH
NATURE_COMM_V2G_2025,peer_reviewed,Unlocking vehicle-to-grid potential of load shifting in China's megacities considering comprehensive real-world behaviors,2025,https://doi.org/10.1038/s41467-025-65073-8,China V2G mobility charging compensation and degradation evidence,V2G availability cost and deployment support,HIGH
IET_V2G_INCENTIVE_2026,peer_reviewed,Case Study of Vehicle-to-Grid Incentive Design Under Multiple Scenarios: A Policy-Making Perspective,2026,https://doi.org/10.1049/gtd2.70254,China V2G incentive design with optimal incentive rates of 0.32 to 0.77 CNY per kWh,total V2G participation-cost comparator,HIGH
APPLIED_ENERGY_V2G_DEGRADATION_2025,peer_reviewed,Vehicle-to-grid impact on battery degradation and estimation of V2G economic compensation,2025,https://doi.org/10.1016/j.apenergy.2024.124546,V2G cycling battery degradation and compensation,degradation cost range,HIGH
IEA_DEMAND_FLEX,international_official,The Value of Demand Flexibility,2025,https://www.iea.org/reports/the-value-of-demand-flexibility,demand flexibility enablement and system value,nonzero enablement and activation costs,HIGH
NREL_RA_2024,US_official_technical,Explained: Fundamentals of Power Grid Reliability and Clean Electricity,2024,https://docs.nrel.gov/docs/fy24osti/85880.pdf,resource adequacy terminology and flexible-demand boundary,derating methodology boundary,HIGH
ESIG_CAPACITY_2023,industry_technical,Ensuring Efficient Reliability: New Design Principles for Capacity Accreditation,2023,https://www.esig.energy/wp-content/uploads/2023/02/ESIG-Design-principles-capacity-accreditation-report-2023.pdf,technology-neutral capacity accreditation and operational deliverability,derating methodology boundary,HIGH
MANTEGNA_RA_2024,preprint_review,Maintaining reliability while navigating unprecedented uncertainty: a synthesis of and guide to advances in electric sector resource adequacy,2024,https://arxiv.org/abs/2412.00533,flexible demand in probabilistic resource adequacy,methodological boundary not a numerical coefficient,HIGH
CHINA_DR_CAPACITY_2023,peer_reviewed,Power System Planning Considering Demand Response Resources and Capacity Value of Energy Storage,2023,https://doi.org/10.16183/j.cnki.jsjtu.2021.477,China planning model with demand response capacity value,China-specific methodological support not numerical calibration,HIGH
CPUC_ELCC_2026,US_regulator,Inputs and assumptions for 2026 integrated resource planning,2026,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/long-term-procurement-planning/2024-26-irp-cycle-events-and-materials,ELCC treatment of demand response and pumping load,external comparator only,HIGH
