technology,year,capex_yuan_per_kw,active_capex_yuan_per_kw,source_technology,source_figure,extraction_method,mapping_assumption,source_workbook,candidate_price_basis,conversion_rule,implementation_status,candidate_version,v2_change_reason
cchpccs,2040,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchpccs,2050,6174.624599999999,6150.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
cchpccs,2060,6024.023999999999,6000.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coal,2030,3815.2152,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coal,2040,3815.2152,3800.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coal,2050,3765.015,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coal,2060,3765.015,3750.0,Coal,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coalccs,2030,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coalccs,2040,6927.627599999999,6900.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coalccs,2050,6174.624599999999,6150.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
coalccs,2060,6024.023999999999,6000.0,Coal CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
csp,2030,12048.048,12000.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
csp,2040,11546.045999999998,11500.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
csp,2050,10742.8428,10700.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
csp,2060,10040.04,10000.0,CSP,image_c8b89e.png (E),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
dpv,2030,2660.6105999999995,2650.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
dpv,2040,2409.6096,2400.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
dpv,2050,2248.96896,2240.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
dpv,2060,2248.96896,2240.0,Distributed solar PV,image_c8b89e.png (D),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gas,2030,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gas,2040,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gas,2050,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gas,2060,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gasccs,2030,6275.025,6250.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gasccs,2040,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gasccs,2050,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gasccs,2060,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchp,2030,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchp,2040,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchp,2050,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchp,2060,3815.2152,3800.0,Gas,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchpccs,2030,6275.025,6250.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchpccs,2040,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchpccs,2050,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
gchpccs,2060,6224.824799999999,6200.0,Gas CCS,image_c8b978.png (S40),user visual estimate from CISPO figure scale,CHP mapped to corresponding fuel and CCS curve,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
hydro,2030,13372.329276,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
hydro,2040,13372.329276,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
hydro,2050,13372.329276,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
hydro,2060,13372.329276,13319.0,Hydropower current anchor,EES SI p.55,explicit SI anchor held constant,no hydro trajectory supplied in CapEx workbook,D:/codeenv/pycharmproject/National_RL/tech_economic/EES_paper.pdf,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
nuclear,2030,20000.12,19300.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,Bowen original USD/kW path x 7.1429 CNY/USD (2025 average FX); 2040 interpolated and 2060 linearly extended,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,correct source-currency chain; do not CPI-inflate an old CNY conversion
nuclear,2040,18928.685,18300.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,Bowen original USD/kW path x 7.1429 CNY/USD (2025 average FX); 2040 interpolated and 2060 linearly extended,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,correct source-currency chain; do not CPI-inflate an old CNY conversion
nuclear,2050,17857.25,17250.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,Bowen original USD/kW path x 7.1429 CNY/USD (2025 average FX); 2040 interpolated and 2060 linearly extended,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,correct source-currency chain; do not CPI-inflate an old CNY conversion
nuclear,2060,16785.815,16250.0,Nuclear,image_c8b978.png (S40),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,Bowen original USD/kW path x 7.1429 CNY/USD (2025 average FX); 2040 interpolated and 2060 linearly extended,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,correct source-currency chain; do not CPI-inflate an old CNY conversion
offwind,2030,9839.239199999998,9800.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
offwind,2040,8684.6346,8650.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
offwind,2050,8232.832799999998,8200.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
offwind,2060,7530.029999999999,7500.0,Offshore wind,image_c8b89e.png (B),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
onwind,2030,5522.021999999999,5500.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
onwind,2040,4518.017999999999,4500.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
onwind,2050,4518.017999999999,4500.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
onwind,2060,4216.8168,4200.0,Onshore wind,image_c8b89e.png (A),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
phs,2030,5281.06104,5260.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
phs,2040,4758.97896,4740.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
phs,2050,4758.97896,4740.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
phs,2060,4256.97696,4240.0,PHS,image_c8b91f.png (S42),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
upv,2030,2259.009,2250.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
upv,2040,1927.68768,1920.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
upv,2050,1767.04704,1760.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
upv,2060,1506.006,1500.0,Utility-scale solar PV,image_c8b89e.png (C),user visual estimate from CISPO figure scale,direct workbook technology row,D:\codeenv\pycharmproject\National_RL\tech_economic\Energy_Technologies_CapEx_Predictions.xlsx,2025 constant CNY,2022 CNY x 1.004004 China CPI,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,unchanged from v1
