province_code,province_name_en,province_name_zh,coal_usd_per_gj,coal_correlation_r,gas_usd_per_gj,biomass_usd_per_gj,coal_yuan_per_gj,gas_yuan_per_gj,coal_fuel_available,biomass_yuan_per_gj,gas_fuel_available,biomass_fuel_available,usd_to_yuan,price_basis_year,temporal_method,merge_method,source_evidence,active_coal_yuan_per_gj,active_gas_yuan_per_gj,active_biomass_yuan_per_gj,currency_conversion_note,implementation_status,candidate_version,v2_change_reason
33,Zhejiang,浙江,5.63,0.94,10.54,5.28,40.214527,75.286166,True,37.714512,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",38.847,72.726,36.432,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
34,Anhui,安徽,6.11,0.99,10.25,4.69,43.643119000000006,73.214725,True,33.500201000000004,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",42.159000000000006,70.72500000000001,32.361000000000004,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
35,Fujian,福建,5.71,0.97,10.58,5.01,40.785959,75.571882,True,35.785929,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",39.399,73.00200000000001,34.569,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
36,Jiangxi,江西,6.89,0.99,9.77,4.82,49.214581,69.78613299999999,True,34.428778,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",47.541,67.413,33.258,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
37,Shandong,山东,5.93,0.97,9.84,4.96,42.357397,70.286136,True,35.428784,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",40.917,67.896,34.224000000000004,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
41,Henan,河南,6.01,0.98,9.95,4.72,42.928829,71.071855,True,33.714488,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",41.469,68.655,32.568,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
42,Hubei,湖北,6.6,0.99,9.77,4.84,47.14314,69.78613299999999,True,34.571636,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",45.54,67.413,33.396,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
43,Hunan,湖南,6.93,0.97,9.77,4.76,49.500297,69.78613299999999,True,34.000204,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",47.817,67.413,32.844,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
44,Guangdong,广东,5.93,0.98,10.58,5.11,42.357397,75.571882,True,36.500219,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",40.917,73.00200000000001,35.25900000000001,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
45,Guangxi,广西,6.85,0.96,9.95,4.65,48.928865,71.071855,True,33.214485,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",47.265,68.655,32.085,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
46,Hainan,海南,4.8,0.88,8.62,4.94,34.28592,61.571798,True,35.285926,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",33.12,59.478,34.086000000000006,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
50,Chongqing,重庆,6.09,0.97,8.62,4.68,43.500261,61.571798,True,33.428771999999995,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",42.021,59.478,32.292,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
51,Sichuan,四川,6.49,0.98,8.66,4.7,46.357421,61.857514,True,33.57163,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",44.781000000000006,59.754000000000005,32.43,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
52,Guizhou,贵州,4.95,0.94,8.88,4.49,35.357355,63.428952,True,32.071621,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",34.155,61.272000000000006,30.981,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
53,Yunnan,云南,4.23,0.75,8.88,4.54,30.214467000000003,63.428952,True,32.428766,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",29.187000000000005,61.272000000000006,31.326,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
54,Tibet,西藏,,,10.58,4.95,,75.571882,False,35.357355,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",,73.00200000000001,34.155,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
61,Shaanxi,陕西,4.43,0.9,7.51,4.57,31.643047,53.643179,True,32.643053,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",30.567,51.819,31.533000000000005,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
62,Gansu,甘肃,5.29,0.97,7.84,4.51,37.785941,56.000336,True,32.214479,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",36.501000000000005,54.096,31.119,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
63,Qinghai,青海,4.85,0.9,8.14,4.66,34.643065,58.143206000000006,True,33.285914,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",33.465,56.166,32.154,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
64,Ningxia,宁夏,3.92,0.95,7.25,4.57,28.000168,51.786025,True,32.643053,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",27.048,50.025000000000006,31.533000000000005,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
65,Xinjiang,新疆,2.4,0.7,6.81,4.95,17.14296,48.643149,True,35.357355,True,True,7.1429,coal: 2023 inferred provincial level; gas: 2018 benchmark gate-station plus 0.8 CNY/m3; biomass: Yuan et al. (2022) ex-factory price,published provincial USD/GJ values held constant through 2060; fuel trajectories reserved for sensitivity,direct screenshot province row,"An et al. (2025), Nature Communications 16, 2311, Supplementary Note 3 and Supplementary Table 2; doi:10.1038/s41467-025-57559-2",16.56,46.989,34.155,reported USD/GJ x official 2025 average 7.1429 CNY/USD; not a 2025 spot-price observation,PROPOSED_NOT_APPLIED,v2_deep_integrated_review,values unchanged; multi-source review strengthens temporal caveat and sensitivity requirement
